file_index,file_name,timestep,dominant_mode,estimated_wave_number
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,0,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,1,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,2,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,3,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,4,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,5,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,6,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,7,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,8,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,9,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,10,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,11,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,12,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,13,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,14,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,15,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,16,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,17,"(0,1)",1.000
