PID: 36440
>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 12673
>> Training Mesh resolution: 49x49
>> grid: torch.Size([2401, 2]), edge_index: torch.Size([2, 410273]), edge_attr: torch.Size([410273, 2])
>> Preprocessing completed, time elapsed:  62.43s
>> ntrain: 80, lr: 0.001, gamma: 0.5, w_d: 0.0001
----------------------------------------------------------------------------------------------------
>> epoch [ 98/500], runtime:  1.20s, train err: 8.2631e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 99/500], runtime:  1.22s, train err: 8.3454e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [100/500], runtime:  1.22s, train err: 8.3045e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [101/500], runtime:  1.20s, train err: 8.1930e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [102/500], runtime:  1.22s, train err: 8.3301e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [103/500], runtime: 1.22s, train err: 8.1635e-03, valid err: 8.1147e-03 , test err: 8.1897e-03
>> epoch [104/500], runtime:  1.25s, train err: 8.1828e-03 (best: 8.1635e-03/8.1147e-03)
>> epoch [105/500], runtime:  1.20s, train err: 8.1884e-03 (best: 8.1635e-03/8.1147e-03)
>> epoch [106/500], runtime: 1.18s, train err: 8.1511e-03, valid err: 8.1083e-03 , test err: 8.1851e-03
>> epoch [107/500], runtime:  1.18s, train err: 8.2623e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [108/500], runtime:  1.22s, train err: 8.2360e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [109/500], runtime:  1.19s, train err: 8.2157e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [110/500], runtime:  1.18s, train err: 8.1974e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [111/500], runtime:  1.16s, train err: 8.1733e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [112/500], runtime:  1.19s, train err: 8.1943e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [113/500], runtime:  1.27s, train err: 8.1959e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [114/500], runtime:  1.18s, train err: 8.2220e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [115/500], runtime:  1.22s, train err: 8.2085e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [116/500], runtime:  1.21s, train err: 8.2425e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [117/500], runtime:  1.23s, train err: 8.3011e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [118/500], runtime:  1.23s, train err: 8.2412e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [119/500], runtime:  1.24s, train err: 8.3211e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [120/500], runtime:  1.21s, train err: 8.1783e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [121/500], runtime:  1.20s, train err: 8.2782e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [122/500], runtime:  1.21s, train err: 8.2025e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [123/500], runtime:  1.21s, train err: 8.2447e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [124/500], runtime:  1.23s, train err: 8.1517e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [125/500], runtime:  1.24s, train err: 8.1995e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [126/500], runtime:  1.20s, train err: 8.1694e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [127/500], runtime:  1.22s, train err: 8.1906e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [128/500], runtime:  1.20s, train err: 8.1925e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [129/500], runtime:  1.22s, train err: 8.2118e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [130/500], runtime:  1.23s, train err: 8.1937e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [131/500], runtime:  1.22s, train err: 8.1872e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [132/500], runtime:  1.22s, train err: 8.1967e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [133/500], runtime:  1.22s, train err: 8.1933e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [134/500], runtime:  1.19s, train err: 8.1586e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [135/500], runtime:  1.22s, train err: 8.2482e-03 (best: 8.1511e-03/8.1083e-03)
>> epoch [136/500], runtime:  1.22s, train err: 8.1966e-03 (best: 8.1511e-03/8.1083e-03)
